cod_cliente,data_referencia,ind_funcionario,pais_residencia,sexo,idade,data_cadastro,ind_novo,tempo_relacionamento_meses,ind_relacionamento,ult_data_cliente_principal,ind_rel_inicio_mes,tipo_rel_inicio_mes,ind_residente,ind_estrangeiro,conjuge_funcionario,canal_entrada,ind_falecido,estado,ind_ativo,renda_estimada_anual_brl,segmento,possui_poupanca,possui_aval_garantia,possui_conta_corrente,possui_conta_investimento,possui_conta_salario,possui_conta_junior,possui_conta_universitaria,possui_conta_corrente_plus,possui_conta_premium,possui_cdb_curto_prazo,possui_cdb_medio_prazo,possui_cdb_longo_prazo,possui_conta_digital,possui_fundo_investimento,possui_financiamento_imovel,possui_previdencia_privada,possui_emprestimo_pessoal,possui_pagamento_tributos,possui_cartao_credito,possui_titulos_investimento,possui_financiamento_veiculo,possui_folha_pagamento,possui_beneficio_previdencia,possui_debito_automatico,segmentos_sinteticos,evento_viagem_sintetico
199065,2022-01-28,N,BR,F,42,2007-10-16,0.0,177,1.0,,1.0,A,S,N,,KAT,N,SP,1.0,27124.61,02 - VAREJO,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-PERFIL-FAMILIAR""]",0
649681,2023-01-28,N,BR,F,30,2013-10-19,0.0,111,1.0,,1.0,A,S,N,,KFC,N,PI,1.0,42864.65,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,"[""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-PERFIL-FAMILIAR""]",0
88560,2023-01-28,N,BR,F,78,2005-03-10,0.0,214,1.0,,1.0,A,S,N,,KAT,N,MG,1.0,158570.57,02 - VAREJO,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-SENIOR"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-POUPADOR"", ""SEG-INVESTIDOR-EXPERIENTE""]",0
36267,2022-09-28,N,BR,F,55,2003-04-09,0.0,233,1.0,,1.0,A,S,N,,KAT,N,GO,1.0,264176.64,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-SENIOR"", ""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
43064,2023-01-28,N,BR,F,45,2003-07-11,0.0,234,1.0,,1.0,A,S,S,,KAT,N,RJ,1.0,161390.35,02 - VAREJO,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
89935,2022-12-28,N,BR,F,76,2005-03-18,0.0,97,1.0,,1.0,A,S,N,,,N,SP,0.0,56411.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-SENIOR"", ""SEG-POUPADOR"", ""SEG-VIAJANTE-EVENTO""]",1
958468,2023-05-28,N,BR,M,72,2018-10-10,0.0,55,1.0,,1.0,A,S,N,,KFC,N,RJ,1.0,63558.65,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,"[""SEG-SENIOR"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR""]",0
930480,2023-02-28,N,BR,F,25,2018-08-09,0.0,54,1.0,,1.0,A,S,N,,KHE,N,PE,1.0,34003.56,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-PERFIL-FAMILIAR""]",0
1170609,2022-12-28,N,BR,M,21,2020-08-28,0.0,28,1.0,,1.0,A,S,N,,KFC,N,RS,1.0,46849.62,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-VIAJANTE-EVENTO""]",1
666548,2022-08-28,N,BR,M,47,2014-01-05,0.0,103,1.0,,1.0,A,S,N,,KFC,N,RJ,1.0,243710.13,02 - VAREJO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
1465219,2023-04-28,N,BR,F,34,2022-09-30,0.0,7,1.0,,1.0,A,S,N,,KHN,N,SP,1.0,73271.73,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
174355,2022-11-28,N,BR,F,39,2007-04-28,0.0,187,1.0,,1.0,A,S,N,,KFC,N,SP,1.0,108473.16,02 - VAREJO,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0,0.0,1,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
1024801,2022-09-28,N,BR,M,28,2019-07-18,0.0,38,1.0,,1,I,S,N,,KHE,N,RJ,1.0,91537.17,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-PERFIL-FAMILIAR""]",0
908323,2023-05-28,N,BR,F,46,2018-03-28,0.0,62,1.0,,1.0,I,S,N,,KFC,N,SP,0.0,76723.64,02 - VAREJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-ALTA-RENDA"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR""]",0
250368,2023-05-28,N,BR,M,43,2008-05-31,0.0,180,1.0,,1.0,A,S,N,,KAT,N,SP,1.0,325228.54,02 - VAREJO,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
228160,2023-03-28,N,BR,M,42,2008-03-13,0.0,180,1.0,,1.0,A,S,N,,KAT,N,SP,1.0,128882.43,02 - VAREJO,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
1312753,2023-03-28,N,BR,F,26,2021-09-22,0.0,18,1.0,,1.0,A,S,N,,KHE,N,MG,1.0,17607.96,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-PERFIL-FAMILIAR""]",0
703684,2023-01-28,N,BR,M,42,2014-07-17,0.0,102,1.0,,1.0,I,S,N,,KAG,N,SP,0.0,54791.47,02 - VAREJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR""]",0
1217074,2022-02-28,N,BR,F,21,2020-11-08,0.0,20,1.0,,1.0,I,S,N,,KHF,N,BA,0.0,40413.87,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-POUPADOR"", ""SEG-VIAJANTE-EVENTO""]",1
1192701,2023-01-28,N,BR,F,33,2020-10-09,0.0,27,1.0,,1.0,A,S,N,,KFA,N,SP,1.0,23563.16,02 - VAREJO,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,1,"[""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-PERFIL-FAMILIAR"", ""SEG-VIAJANTE-EVENTO""]",1
359710,2022-12-28,N,BR,F,44,2022-02-20,0.0,10,1.0,,1.0,A,S,N,,KHK,N,SP,1.0,109538.98,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
750697,2022-12-28,N,BR,F,38,2015-02-27,0.0,94,1.0,,1.0,I,S,N,,KFC,N,PE,1.0,13481.61,02 - VAREJO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,"[""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-PERFIL-FAMILIAR""]",0
518779,2022-11-28,N,BR,M,65,2012-02-19,0.0,129,1.0,,1.0,A,S,N,,KAT,N,SP,1.0,315381.55,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-SENIOR"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR""]",0
920315,2023-05-28,N,BR,M,24,2018-07-21,0.0,58,1.0,,1.0,A,S,N,,KHE,N,CE,1.0,21659.51,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE""]",0
1418139,2023-03-28,N,BR,M,22,2022-07-27,0.0,8,1.0,,1.0,A,S,N,,KHQ,N,AC,1.0,28225.33,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE""]",0
931309,2022-11-28,N,BR,M,26,2018-08-09,0.0,51,1.0,,1.0,A,S,N,,KHE,N,MA,1.0,13308.29,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-PERFIL-FAMILIAR""]",0
373501,2022-01-28,N,BR,F,55,2009-07-18,0.0,156,1.0,,1.0,I,S,N,,KAT,N,RJ,1.0,302712.24,02 - VAREJO,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-SENIOR"", ""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
89083,2023-05-28,N,BR,F,62,2005-03-11,0.0,218,1.0,,1.0,A,S,S,,KAT,N,RO,1.0,28732.43,01 - ALTA RENDA,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-VIP"", ""SEG-SENIOR"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE""]",0
934631,2023-04-28,N,BR,M,23,2018-08-17,0.0,56,1.0,,1.0,A,S,N,,KHE,N,CE,1.0,18364.31,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE""]",0
999835,2022-11-28,N,BR,M,33,2020-02-18,0.0,13,1.0,,1.0,A,S,S,,KAT,N,RJ,1.0,44696.28,02 - VAREJO,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-INVESTIDOR-EXPERIENTE"", ""SEG-PERFIL-FAMILIAR""]",0
1177401,2023-04-28,N,BR,M,22,2020-09-17,0.0,31,1.0,,1.0,A,S,N,,KHE,N,RJ,1.0,10772.57,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,"[""SEG-JOVEM"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-VIAJANTE-EVENTO""]",1
502993,2022-07-28,N,BR,F,65,2011-11-20,0.0,128,1.0,,1.0,A,S,N,,KCH,N,SP,1.0,211987.23,01 - ALTA RENDA,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-VIP"", ""SEG-SENIOR"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR""]",0
100542,2023-05-28,N,BR,M,46,2005-06-26,0.0,215,1.0,,1.0,A,S,N,,KAT,N,SP,1.0,294293.59,01 - ALTA RENDA,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1.0,1.0,1,"[""SEG-VIP"", ""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-POUPADOR"", ""SEG-INVESTIDOR-EXPERIENTE"", ""SEG-PERFIL-FAMILIAR""]",0
1454130,2023-05-28,N,BR,M,55,2022-09-18,0.0,8,1.0,,1,A,S,N,,KHN,N,SP,1.0,89663.65,01 - ALTA RENDA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-VIP"", ""SEG-SENIOR"", ""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
510287,2022-05-28,N,BR,M,18,2012-01-07,0.0,126,1.0,,1.0,A,S,N,,KAT,N,SP,1.0,157864.36,02 - VAREJO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-VIAJANTE-EVENTO""]",1
1478201,2023-03-28,N,BR,F,20,2022-10-13,1.0,5,1.0,,1.0,I,S,N,,KHQ,N,SP,0.0,64206.16,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-POUPADOR""]",0
1060674,2023-04-28,N,BR,M,22,2019-09-14,0.0,43,1.0,,1.0,I,S,S,,KHE,N,PA,0.0,23448.2,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM""]",0
759408,2022-09-28,N,BR,M,55,2015-04-09,0.0,89,1.0,,1,A,S,N,,KFC,N,SP,1.0,90767.91,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0,"[""SEG-SENIOR"", ""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-INVESTIDOR-EXPERIENTE"", ""SEG-PERFIL-FAMILIAR""]",0
603484,2023-01-28,N,BR,M,47,2013-03-19,0.0,118,1.0,,1,A,S,N,,KFA,N,SP,1.0,67481.43,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
1346739,2023-03-28,N,BR,M,23,2021-11-03,0.0,16,1.0,,1,I,S,N,,KHE,N,MG,0.0,20619.8,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM""]",0
874580,2023-01-28,N,BR,M,61,2017-04-20,0.0,69,1.0,,1.0,A,S,N,,KAE,N,PB,1.0,102042.45,01 - ALTA RENDA,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1,"[""SEG-VIP"", ""SEG-SENIOR"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR""]",0
825885,2023-04-28,N,BR,F,53,2016-01-12,0.0,87,1.0,,1,A,S,N,,KAJ,N,GO,1.0,24834.3,01 - ALTA RENDA,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-VIP"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-EXPERIENTE"", ""SEG-PERFIL-FAMILIAR""]",0
107097,2022-11-28,N,BR,M,52,2005-10-06,0.0,205,1.0,,1,I,S,N,,KAT,N,PA,1.0,474856.03,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
1187124,2022-11-28,N,BR,F,48,2020-10-01,0.0,25,1.0,,1.0,A,S,N,,KFC,N,RJ,1.0,619142.32,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
583648,2023-04-28,N,BR,M,74,2012-12-03,0.0,124,1.0,,1.0,I,S,N,,KAT,N,SP,0.0,7942.03,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-SENIOR""]",0
1177470,2022-12-28,N,BR,M,24,2020-09-17,0.0,27,1.0,,1.0,I,S,N,,KHE,N,RS,0.0,36447.91,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-JOVEM"", ""SEG-POUPADOR"", ""SEG-VIAJANTE-EVENTO""]",1
96358,2023-04-28,N,BR,F,44,2005-05-14,0.0,215,1.0,,1.0,A,S,S,,KAT,N,RJ,1.0,93079.58,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-INVESTIDOR-EXPERIENTE"", ""SEG-PERFIL-FAMILIAR""]",0
47254,2022-11-28,N,BR,M,54,2021-08-28,0.0,229,1.0,,1,A,S,N,,KAT,N,BA,1.0,76283.58,02 - VAREJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,"[""SEG-ALTA-RENDA"", ""SEG-CREDITO-ATIVO"", ""SEG-SEM-CARTAO"", ""SEG-INVESTIDOR-INICIANTE"", ""SEG-POUPADOR"", ""SEG-CONTRIBUINTE-IR"", ""SEG-PERFIL-FAMILIAR""]",0
